reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C426,Lesotho,33415
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C834,Tanzania,39520087
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C598,"Papua New Guinea",73263288
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C356,India,3077962097
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C446,"Macao, China",1953772
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C398,Kazakhstan,20504553
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C480,Mauritius,77007565
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C818,Egypt,403723655
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C740,Suriname,735947
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C076,Brazil,4026371928
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C784,"United Arab Emirates",83541670
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C524,Nepal,24487277
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C694,"Sierra Leone",963942
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C807,"North Macedonia",30681453
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C788,Tunisia,237786427
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C795,Turkmenistan,1045086
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C531,Curaçao,295441
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C558,Nicaragua,1002393241
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C670,"Saint Vincent and the Grenadines",344897
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C400,Jordan,37361637
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C804,Ukraine,184784978
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C072,Botswana,2500
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C204,Benin,2683235
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C862,"Venezuela, Bolivarian Republic of",44590664
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C090,"Solomon Islands",643263
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C450,Madagascar,123781501
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C376,Israel,469230293
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C050,Bangladesh,28608618
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C784,"United Arab Emirates",83648006
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",N990,"Other Countries, n.e.s.",18832115
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C170,Colombia,3912092195
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",U918,"European Union",29229913657
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C231,Ethiopia,198598117
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C882,Samoa,5076441
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C512,Oman,7106639
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C804,Ukraine,220457951
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C562,Niger,465970
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C887,Yemen,5863307
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",N990,"Other Countries, n.e.s.",17903316
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C818,Egypt,343285827
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C024,Angola,77000
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C328,Guyana,31279951
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C180,"Democratic Republic of the Congo",31454008
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C218,Ecuador,1541452980
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C320,Guatemala,2188968721
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C112,Belarus,8884149
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C376,Israel,518400376
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C736,Sudan,13114399
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C104,Myanmar,10351064
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C048,"Bahrain, Kingdom of",2063663
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C124,Canada,25267613490
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C270,"The Gambia",153374
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C608,Philippines,1266019810
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C624,Guinea-Bissau,86935
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C214,"Dominican Republic",1595479338
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C784,"United Arab Emirates",85038155
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C308,Grenada,3724476
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C332,Haiti,24821912
